TYPE,Name,ID,Size
INSTITUTION,"9/11 memorial",17,20
INSTITUTION,"moma ps1",6,20
INSTITUTION,"museum of arts and design",15,20
INSTITUTION,"cooper hewitt",21,20
INSTITUTION,"morgan museum and library",12,20
INSTITUTION,"roundabout theatre",13,20
INSTITUTION,"american museum of natural history",1,20
INSTITUTION,"lincoln center",2,20
INSTITUTION,"museum of modern art",5,20
INSTITUTION,"metropolitan museum of art",4,20
INSTITUTION,"metropolitan opera",3,20
INSTITUTION,"wnyc",16,20
INSTITUTION,"92y",9,20
INSTITUTION,"new york public library",19,20
INSTITUTION,"new york transit museum",20,20
INSTITUTION,"carnegie hall",8,20
INSTITUTION,"frick collection",18,20
INSTITUTION,"new york philharmonic",7,20
INSTITUTION,"brooklyn public library",14,20
INSTITUTION,"wnet",10,20
INSTITUTION,"brooklyn academy of music",11,20
BOARD MEMBER,"Alan Rappaport",31,4
BOARD MEMBER,"Ann Ziff",32,4
BOARD MEMBER,"Anna Deavere Smith",33,4
BOARD MEMBER,"Anne Sidamon-Eristoff",34,4
BOARD MEMBER,"Archibald Cox Jr.",35,4
BOARD MEMBER,"Charles E. Phillips Jr.",36,4
BOARD MEMBER,"Charles H. Mott",37,4
BOARD MEMBER,"Christine A. Varney",38,4
BOARD MEMBER,"Christopher C. Davis",39,4
BOARD MEMBER,"David H. Koch",40,4
BOARD MEMBER,"David S. Gottesman",41,4
BOARD MEMBER,"Edwin H. Morgens",42,4
BOARD MEMBER,"Ellen V. Futter",43,4
BOARD MEMBER,"Fiona Druckenmiller",44,4
BOARD MEMBER,"Frank V. Sica",45,4
BOARD MEMBER,"Frederick A. Klingenstein",46,4
BOARD MEMBER,"Helene D. Gayle",47,4
BOARD MEMBER,"Helene L. Kaplan",48,4
BOARD MEMBER,"Ilene Sackler Lefcourt",49,4
BOARD MEMBER,"Irma Milstein",50,4
BOARD MEMBER,"Jackie Bezos",51,4
BOARD MEMBER,"Joseph H. Gleberman",52,4
BOARD MEMBER,"Katheryn P. Kempner",53,4
BOARD MEMBER,"Kenneth L. Wallach",54,4
BOARD MEMBER,"Laura Baudo Sillerman",55,4
BOARD MEMBER,"Lewis W. Bernard",56,4
BOARD MEMBER,"Linda R. Macaulay",57,4
BOARD MEMBER,"Lorne Michaels",58,4
BOARD MEMBER,"Louis V. Gerstner Jr.",59,4
BOARD MEMBER,"Marlene Hess",60,4
BOARD MEMBER,"Mary C. Solomon",61,4
BOARD MEMBER,"Nancy B. Fessenden",62,4
BOARD MEMBER,"Peter J. Solomon",63,4
BOARD MEMBER,"Rebekah Mercer",64,4
BOARD MEMBER,"Richard D. Parsons",65,4
BOARD MEMBER,"Richard E. Jaffe",66,4
BOARD MEMBER,"Richard Gilder",67,4
BOARD MEMBER,"Richard L. Revesz",68,4
BOARD MEMBER,"Richard S. LeFrak",69,4
BOARD MEMBER,"Robert G. Goelet",70,4
BOARD MEMBER,"Roberto A. Mignone",71,4
BOARD MEMBER,"Roger C. Altman",72,4
BOARD MEMBER,"Scott L. Bok",73,4
BOARD MEMBER,"Shaiza Rizavi",74,4
BOARD MEMBER,"Sibyl R. Golden",75,4
BOARD MEMBER,"Stephanie Bell-Rose",76,4
BOARD MEMBER,"Tamsen Ann Ziff",77,4
BOARD MEMBER,"Theodore A. Mathas",78,4
BOARD MEMBER,"Theodore Roosevelt IV",79,4
BOARD MEMBER,"Tina Fey",80,4
BOARD MEMBER,"Tom Brokaw",81,4
BOARD MEMBER,"Valerie S. Peltier",82,4
