Year,Donor,Amount,Type,Institution
2013,Corporation for Public Broadcasting,"$10,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Public Broadcasting Service,"$10,000,000 and above", LEADERSHIP GIFTS,WNET
2013,"$5,000,000 and above","$10,000,000 and above", LEADERSHIP GIFTS,WNET
2013,State of New York,"$10,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Anonymous,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Ancestry.com,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,"The Arnhold Family, in memory of Clarisse Arnhold","$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Bank of America,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Lewis B. and Louise Hirschfeld Cullman,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,The Irene Diamond Fund,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Ford Foundation,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,The Lillian Goldman Charitable Trust,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,JPB Foundation,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,"Lilly Endowment, Inc.","$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,MetLife,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,National Endowment for the Arts,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,James and Merryl Tisch,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Rosalind P. Walter,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Josh and Judy Weston,"$1,000,000 and above", LEADERSHIP GIFTS,WNET
2013,Charlotte and David Ackert,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,The Coca Cola Company,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Ford Motor Company,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Johnson & Johnson,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Anna-Maria and Stephen Kellen Foundation,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Estate of Cynthia Leary,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,The Philip and Janice Levin Foundation,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,John D. & Catherine T. MacArthur Foundation,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,McDonald‰Ûªs,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Abby and Howard Milstein,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Cheryl and Philip Milstein Family,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,Mutual of America Life Insurance Company,"$500,000 and above", LEADERSHIP GIFTS,WNET
2013,National Endowment for the Humanities,"$500,000 and above", LEADERSHIP GIFTS,WNET
